,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fodder.crops ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0.04,0,0.1,0.1,0,0,0,0,0,0,1,0,0,0,0.7
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.8
Carbon,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.8
Recreation,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.5
Flood.reg,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.5
Employment,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.8
Ldiversity,0.04,0.02,0.05,0.05,0,0,0,0,0,0,1,0,0,0,0.3
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sus.Prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
