,Human,Social,Manufactured,Financial,Arable.suit,Igrass.suit,SNGrass.suit,Bioenergy.suit,AgroForestry.suit,NNConifer.suit,NConifer.suit,NNBroadleaf.suit,NBroadleaf.suit,Tree.suit,Production
Food.crops ,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1
Fodder.crops ,0.2,0.03,0.3,0.25,0,0,0,0,0,0,0,0,0,0,0
GF.redMeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Softwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiversity,0.2,0.03,0.3,0.25,1,0,0,0,0,0,0,0,0,0,0.08
Carbon,0.2,0.03,0.3,0.25,1,0,0,0,0,0,0,0,0,0,0.08
Recreation,0.2,0.03,0.15,0.25,1,0,0,0,0,0,0,0,0,0,0.08
Flood.reg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Employment,0.2,0.03,0.3,0.25,1,0,0,0,0,0,0,0,0,0,0.45
Ldiversity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GF.milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
